team,year,class,hex_color
American Racing,2023,moto2,#B22222
CAG SpeedUp,2023,moto2,#DC143C
Autosolar GASGAS Aspar M2,2023,moto2,#B8500A
Correos Prepago Yamaha VR46 Team,2023,moto2,#0066CC
Tensite GASGAS Aspar Team,2023,moto2,#B8500A
Inde GASGAS Aspar M2,2023,moto2,#B8500A
Petronas MIE Racing RW,2023,moto2,#0059FF
MB Conveyors SpeedUp,2023,moto2,#DC143C
Polar Cube GASGAS Aspar Team,2023,moto2,#B8500A
Autosolar GASGAS Aspar Team,2023,moto2,#B8500A
Solunion GASGAS Aspar Team,2023,moto2,#B8500A
Asterius GASGAS Aspar M2,2023,moto2,#B8500A
GT Trevisan SpeedUp,2023,moto2,#DC143C
Lightech SpeedUp,2023,moto2,#DC143C
Kiefer Racing,2019,moto2,#800080
Italtrans Racing Team,2019,moto2,#074907
FLEXBOX HP 40,2019,moto2,#0000FF
+Ego Speed Up SPEED,2019,moto2,#DC143C
SKY Racing Team VR46,2019,moto2,#95A003
Dynavolt Intact GP,2019,moto2,#D1002D
American Racing KTM,2019,moto2,#FF6600
Sama Qatar Angel Nieto Team,2019,moto2,#0000FF
Honda Team Asia,2019,moto2,#FF4500
Federal Oil Gresini Moto2,2019,moto2,#4169E1
NTS RW Racing GP,2019,moto2,#4169E1
IDEMITSU Honda Team Asia,2019,moto2,#FF4500
Red Bull KTM Ajo,2019,moto2,#FF6600
ONEXOX TKKR SAG Team,2019,moto2,#FF8C00
Petronas Sprinta Racing,2019,moto2,#0059FF
Tasca Racing Scuderia Moto2,2019,moto2,#0000FF
MV Agusta Temporary Forward MV,2019,moto2,#4169E1
Red Bull KTM Tech 3,2019,moto2,#B8500A
"EG 0,0 Marc VDS",2019,moto2,#FFD700
HDR Heidrun Speed Up SPEED,2019,moto2,#DC143C
MV Agusta Idealavoro Forward MV,2019,moto2,#4169E1
Flexbox HP 40,2019,moto2,#0000FF
MB Conveyors Speed Up SPEED,2019,moto2,#DC143C
Inde Angel Nieto Team,2019,moto2,#0000FF
Beta Tools Speed Up SPEED,2019,moto2,#DC143C
Campetella Speed Up SPEED,2019,moto2,#DC143C
Gaviota Angel Nieto Team,2019,moto2,#0000FF
MV Agusta Idealavoro Forward,2019,moto2,#4169E1
monday.com American Racing,2019,moto2,#B22222
Lightech Speed Up SPEED,2019,moto2,#DC143C
American Racing,2022,moto2,#B22222
RW Racing GP,2022,moto2,#4169E1
Elf Marc VDS Racing Team,2022,moto2,#FFD700
Flexbox HP40,2022,moto2,#0000FF
Inde GASGAS Aspar Team,2022,moto2,#B8500A
Gresini Racing Moto2,2022,moto2,#4169E1
Mooney VR46 Racing Team,2022,moto2,#95A003
Italtrans Racing Team,2022,moto2,#074907
Yamaha VR46 Master Camp Team,2022,moto2,#0066CC
+Ego Speed Up,2022,moto2,#DC143C
Liqui Moly Intact GP,2022,moto2,#D1002D
MV Agusta Forward Racing MV,2022,moto2,#4169E1
Pertamina Mandalika SAG Team,2022,moto2,#FF8C00
IDEMITSU Honda Team Asia,2022,moto2,#FF4500
Red Bull KTM Ajo,2022,moto2,#FF6600
Lightech Speed Up,2022,moto2,#DC143C
Pertamina Mandalika SAG,2022,moto2,#FF8C00
Autosolar GASGAS Aspar Team,2022,moto2,#B8500A
Beta Tools Speed Up,2022,moto2,#DC143C
MB Conveyors Speed Up,2022,moto2,#DC143C
CAG Speed Up,2022,moto2,#DC143C
GASGAS Aspar Team,2022,moto2,#B8500A
Petronas MIE Racing RW,2022,moto2,#0059FF
Zinia GASGAS Aspar Team,2022,moto2,#B8500A
Shimoko GASGAS Aspar Team,2022,moto2,#B8500A
"EG 0,0 Marc VDS",2015,moto2,#FFD700
sports-millions-EMWE-SAG,2015,moto2,#0000FF
Forward Racing,2015,moto2,#4169E1
JIR Racing Team,2015,moto2,#0000FF
Ajo Motorsport,2015,moto2,#0000FF
Pons Racing Junior Team,2015,moto2,#FF1493
APH PTT The Pizza SAG,2015,moto2,#0000FF
Dynavolt Intact GP,2015,moto2,#D1002D
Derendinger Racing Interwett,2015,moto2,#0000FF
Federal Oil Gresini Moto2,2015,moto2,#4169E1
Italtrans Racing Team,2015,moto2,#074907
Speed Up Racing,2015,moto2,#DC143C
Tech 3,2015,moto2,#B8500A
IDEMITSU Honda Team Asia,2015,moto2,#FF4500
Paginas Amarillas HP 40,2015,moto2,#0000FF
AGR Team,2015,moto2,#DC143C
Gresini Racing Moto2,2015,moto2,#4169E1
Petronas Raceline Malaysia,2015,moto2,#0059FF
QMMF Racing Team,2015,moto2,#0000FF
E-Motion IodaRacing Team,2015,moto2,#9932CC
Technomag Racing Interwette,2015,moto2,#0000FF
JPMoto Malaysia,2015,moto2,#0000FF
Tasca Racing Scuderia Moto2,2015,moto2,#0000FF
Athinà Forward Racing,2015,moto2,#4169E1
Petronas AHM Malaysia,2015,moto2,#0059FF
Octo Iodaracing Team,2015,moto2,#0000FF
Ciatti,2015,moto2,#0000FF
Promoto Sport,2015,moto2,#0000FF
FAB-Racing,2015,moto2,#0000FF
"Estrella Galicia 0,0 Marc VDS",2015,moto2,#FFD700
Sports-Millions-Emwe-SAG,2015,moto2,#0000FF
JIR Moto2,2015,moto2,#0000FF
Abbink GP,2015,moto2,#0000FF
Gresini Racing,2015,moto2,#4169E1
NTS T.Pro Project,2015,moto2,#8A2BE2
Moriwaki Racing,2015,moto2,#0000FF
Team Ciatti,2015,moto2,#0000FF
Ducati Team,2017,motogp,#DC143C
Monster Yamaha Tech 3,2017,motogp,#0066CC
Reale Avintia Racing,2017,motogp,#2F4F4F
OCTO Pramac Racing,2017,motogp,#F700FF
Pull&Bear Aspar Team,2017,motogp,#DC143C
Aprilia Racing Team Gresini,2017,motogp,#A41DA8
Movistar Yamaha MotoGP,2017,motogp,#0066CC
Repsol Honda Team,2017,motogp,#FF4500
Team SUZUKI ECSTAR,2017,motogp,#FF0000
LCR Honda,2017,motogp,#8B8684
Red Bull KTM Factory Racing,2017,motogp,#FF6600
"EG 0,0 Marc VDS",2017,motogp,#FFD700
Yamalube Yamaha Factory Racing,2017,motogp,#0066CC
Ducati Lenovo Team,2024,motogp,#DC143C
CASTROL Honda LCR,2024,motogp,#8B8684
Repsol Honda Team,2024,motogp,#FF4500
Aprilia Racing,2024,motogp,#A41DA8
Monster Energy Yamaha MotoGP Tea,2024,motogp,#0066CC
Prima Pramac Racing,2024,motogp,#F700FF
Trackhouse Racing,2024,motogp,#2278B2
IDEMITSU Honda LCR,2024,motogp,#8B8684
Red Bull GASGAS Tech3,2024,motogp,#B8500A
Red Bull KTM Factory Racing,2024,motogp,#FF6600
Pertamina Enduro VR46 Racing Team,2024,motogp,#95A003
Gresini Racing MotoGP,2024,motogp,#4169E1
HRC Test Team,2024,motogp,#FF0000
Pertamina Enduro VR46 MotoGP Tea,2024,motogp,#95A003
Yamaha Factory Racing Team,2024,motogp,#0066CC
Yamaha Factory Racing,2024,motogp,#0066CC
Ducati Team,2016,motogp,#DC143C
Aprilia Racing Team Gresini,2016,motogp,#A41DA8
Avintia Racing,2016,motogp,#2F4F4F
OCTO Pramac Yakhnich,2016,motogp,#F700FF
Monster Yamaha Tech 3,2016,motogp,#0066CC
Team SUZUKI ECSTAR,2016,motogp,#FF0000
Repsol Honda Team,2016,motogp,#FF4500
LCR Honda,2016,motogp,#8B8684
"Estrella Galicia 0,0 Marc VDS",2016,motogp,#FFD700
Movistar Yamaha MotoGP,2016,motogp,#0066CC
Pull & Bear Aspar Team,2016,motogp,#DC143C
Aspar Team MotoGP,2016,motogp,#DC143C
Red Bull KTM Factory Racing,2016,motogp,#FF6600
Yamalube Yamaha Factory Racing,2016,motogp,#0066CC
Aprilia Racing,2025,motogp,#A41DA8
CASTROL Honda LCR,2025,motogp,#8B8684
Honda HRC Castrol,2025,motogp,#FF4500
Red Bull KTM Tech3,2025,motogp,#B8500A
Monster Energy Yamaha MotoGP Team,2025,motogp,#0066CC
Pertamina Enduro VR46 Racing Team,2025,motogp,#95A003
Trackhouse MotoGP Team,2025,motogp,#2278B2
Red Bull KTM Factory Racing,2025,motogp,#FF6600
IDEMITSU Honda LCR,2025,motogp,#8B8684
Honda HRC Test Team,2025,motogp,#FF4500
Prima Pramac Yamaha MotoGP,2025,motogp,#0066CC
BK8 Gresini Racing MotoGP,2025,motogp,#4169E1
Ducati Lenovo Team,2025,motogp,#DC143C
Yamaha Factory Racing Team,2025,motogp,#0066CC
Yamaha Factory Racing,2025,motogp,#0066CC
Repsol Honda Team,2012,motogp,#FF4500
Monster Yamaha Tech 3,2012,motogp,#0066CC
NGM Mobile Forward Racing,2012,motogp,#4169E1
LCR Honda MotoGP,2012,motogp,#8B8684
Pramac Racing Team,2012,motogp,#F700FF
Came IodaRacing Project,2012,motogp,#9932CC
Yamaha Factory Racing,2012,motogp,#0066CC
Power Electronics Aspar,2012,motogp,#DC143C
Cardion AB Motoracing,2012,motogp,#008B8B
San Carlo Honda Gresini,2012,motogp,#FF4500
Avintia Blusens,2012,motogp,#2F4F4F
Ducati Team,2012,motogp,#DC143C
Speed Master,2012,motogp,#FF0000
Paul Bird Motorsport,2012,motogp,#696969
Attack Performance,2012,motogp,#FF4500
GPTech,2012,motogp,#FF0000
Yamaha YSP Racing Team,2012,motogp,#0066CC
Petronas Yamaha SRT,2021,motogp,#0066CC
Pramac Racing,2021,motogp,#F700FF
Repsol Honda Team,2021,motogp,#FF4500
Tech 3 KTM Factory Racing,2021,motogp,#B8500A
SKY VR46 Avintia,2021,motogp,#95A003
Aprilia Racing Team Gresini,2021,motogp,#A41DA8
Monster Energy Yamaha MotoGP,2021,motogp,#0066CC
Avintia Esponsorama,2021,motogp,#2F4F4F
LCR Honda IDEMITSU,2021,motogp,#8B8684
Red Bull KTM Factory Racing,2021,motogp,#FF6600
Team SUZUKI ECSTAR,2021,motogp,#FF0000
Ducati Lenovo Team,2021,motogp,#DC143C
LCR Honda CASTROL,2021,motogp,#8B8684
Honda HRC,2021,motogp,#FF4500
SKY VR46 Esponsorama,2021,motogp,#95A003
Esponsorama Racing,2021,motogp,#FF0000
Team Honda HRC,2021,motogp,#FF4500
KTM Factory Racing,2021,motogp,#FF6600
Aprilia Factory Racing,2021,motogp,#A41DA8
Ducati Team,2020,motogp,#DC143C
Esponsorama Racing,2020,motogp,#FF0000
Repsol Honda Team,2020,motogp,#FF4500
Monster Energy Yamaha MotoGP,2020,motogp,#0066CC
Petronas Yamaha SRT,2020,motogp,#0066CC
Red Bull KTM Tech 3,2020,motogp,#B8500A
Aprilia Racing Team Gresini,2020,motogp,#A41DA8
LCR Honda IDEMITSU,2020,motogp,#8B8684
Red Bull KTM Factory Racing,2020,motogp,#FF6600
LCR Honda CASTROL,2020,motogp,#8B8684
Team SUZUKI ECSTAR,2020,motogp,#FF0000
Pramac Racing,2020,motogp,#F700FF
Reale Avintia Racing,2020,motogp,#2F4F4F
Aprilia Factory Racing,2020,motogp,#A41DA8
SUZUKI Test Team,2020,motogp,#FF0000
aha Test Team,2020,motogp,#FF0000
NTS RW Racing GP,2020,motogp,#4169E1
Flexbox HP 40,2020,motogp,#FF0000
Beta Tools Speed Up SPEED,2020,motogp,#DC143C
SKY Racing Team VR46,2020,motogp,#95A003
Federal Oil Gresini Moto2,2020,motogp,#4169E1
Liqui Moly Intact GP,2020,motogp,#D1002D
American Racing,2020,motogp,#B22222
Italtrans Racing Team,2020,motogp,#074907
"EG 0,0 Marc VDS",2020,motogp,#FFD700
MV Agusta Forward Racing MV,2020,motogp,#4169E1
IDEMITSU Honda Team Asia,2020,motogp,#FF4500
Aspar Team SPEED,2020,motogp,#DC143C
Red Bull KTM Ajo,2020,motogp,#FF6600
Onexox TKKR SAG Team,2020,motogp,#FF8C00
Petronas Sprinta Racing,2020,motogp,#0059FF
Drive M7 Aspar,2014,motogp,#DC143C
Ducati Team,2014,motogp,#DC143C
LCR Honda MotoGP,2014,motogp,#8B8684
Avintia Racing,2014,motogp,#2F4F4F
Octo IodaRacing Team,2014,motogp,#9932CC
NGM Forward Racing,2014,motogp,#4169E1
Cardion AB Motoracing,2014,motogp,#008B8B
GO&FUN Honda Gresini,2014,motogp,#FF4500
Paul Bird Motorsport,2014,motogp,#696969
Repsol Honda Team,2014,motogp,#FF4500
Pramac Racing,2014,motogp,#F700FF
Monster Yamaha Tech 3,2014,motogp,#0066CC
Movistar Yamaha MotoGP,2014,motogp,#0066CC
Energy T.I. Pramac Racing,2014,motogp,#F700FF
IodaRacing Project,2014,motogp,#9932CC
Team Suzuki MotoGP,2014,motogp,#0080FF
Emergy T.I. Pramac Racing,2014,motogp,#F700FF
YAMALUBE Racing Team wit,2014,motogp,#FF0000
Ducati Team,2018,motogp,#DC143C
Monster Yamaha Tech 3,2018,motogp,#0066CC
HRC Honda Team,2018,motogp,#FF4500
Alma Pramac Racing,2018,motogp,#F700FF
Reale Avintia Racing,2018,motogp,#2F4F4F
"EG 0,0 Marc VDS",2018,motogp,#FFD700
Angel Nieto Team,2018,motogp,#FF0000
Movistar Yamaha MotoGP,2018,motogp,#0066CC
Repsol Honda Team,2018,motogp,#FF4500
Team SUZUKI ECSTAR,2018,motogp,#FF0000
LCR Honda IDEMITSU,2018,motogp,#8B8684
LCR Honda CASTROL,2018,motogp,#8B8684
Red Bull KTM Factory Racing,2018,motogp,#FF6600
Aprilia Racing Team Gresini,2018,motogp,#A41DA8
Yamalube Yamaha Factory Racing,2018,motogp,#0066CC
Ducati Team,2013,motogp,#DC143C
NGM Mobile Forward Racing,2013,motogp,#4169E1
LCR Honda MotoGP,2013,motogp,#8B8684
Avintia Blusens,2013,motogp,#2F4F4F
Came IodaRacing Project,2013,motogp,#9932CC
Ignite Pramac Racing,2013,motogp,#F700FF
Power Electronics Aspar,2013,motogp,#DC143C
Cardion AB Motoracing,2013,motogp,#008B8B
GO&FUN Honda Gresini,2013,motogp,#FF4500
Repsol Honda Team,2013,motogp,#FF4500
Energy T.I. Pramac Racing,2013,motogp,#F700FF
Monster Yamaha Tech 3,2013,motogp,#0066CC
Yamaha Factory Racing,2013,motogp,#0066CC
Paul Bird Motorsport,2013,motogp,#696969
Ducati Test Team,2013,motogp,#DC143C
Remus Racing Team,2013,motogp,#FF0000
Attack Performance Racing,2013,motogp,#FF4500
Yamaha YSP Racing Team,2013,motogp,#0066CC
GP Tech,2013,motogp,#FF0000
Ducati Lenovo Team,2023,motogp,#DC143C
Prima Pramac Racing,2023,motogp,#F700FF
HRC Team,2023,motogp,#FF0000
LCR Honda CASTROL,2023,motogp,#8B8684
Mooney VR46 Racing Team,2023,motogp,#95A003
Aprilia Racing,2023,motogp,#A41DA8
Monster Energy Yamaha MotoGP,2023,motogp,#0066CC
CryptoDATA RNF MotoGP Team,2023,motogp,#FF0000
Red Bull KTM Factory Racing,2023,motogp,#FF6600
LCR Honda IDEMITSU,2023,motogp,#8B8684
Repsol Honda Team,2023,motogp,#FF4500
GASGAS Factory Racing Tech3,2023,motogp,#B8500A
Gresini Racing MotoGP,2023,motogp,#4169E1
Aruba.it Racing,2023,motogp,#FF0000
Honda Tet Team,2023,motogp,#FF4500
Monster Energy Yamaha MotoGP Tea,2023,motogp,#0066CC
RNF MotoGP Team,2023,motogp,#FF0000
Yamaha Factory,2023,motogp,#0066CC
Tech3 GASGAS Factory Racing,2023,motogp,#B8500A
Liqui Moly Husqvarna Intact GP,2023,motogp,#D1002D
American Racing,2023,motogp,#B22222
Pons Wegow Los40,2023,motogp,#FF1493
QJMOTOR Gresini Moto2,2023,motogp,#4169E1
Fantic Racing,2023,motogp,#FF69B4
Elf Marc VDS Racing Team,2023,motogp,#FFD700
Forward Team,2023,motogp,#4169E1
Correos Prepago Yamaha VR46 Maste,2023,motogp,#0066CC
Pertamina Mandalika SAG Team,2023,motogp,#FF8C00
Autosolar GASGAS Aspar M2,2023,motogp,#B8500A
Red Bull KTM Ajo,2023,motogp,#FF6600
IDEMITSU Honda Team Asia,2023,motogp,#FF4500
Honda Test Team,2023,motogp,#FF4500
Ducati Team,2023,motogp,#DC143C
Yamalube RS4GP Racing Team,2023,motogp,#FF0000
HRC Test Team,2023,motogp,#FF0000
Ducati Team,2019,motogp,#DC143C
Red Bull KTM Factory Racing,2019,motogp,#FF6600
HRC Team,2019,motogp,#FF0000
Monster Energy Yamaha MotoGP,2019,motogp,#0066CC
Reale Avintia Racing,2019,motogp,#2F4F4F
Petronas Yamaha SRT,2019,motogp,#0066CC
Aprilia Racing Team Gresini,2019,motogp,#A41DA8
LCR Honda IDEMITSU,2019,motogp,#8B8684
LCR Honda CASTROL,2019,motogp,#8B8684
Team SUZUKI ECSTAR,2019,motogp,#FF0000
Pramac Racing,2019,motogp,#F700FF
Red Bull KTM Tech 3,2019,motogp,#B8500A
Repsol Honda Team,2019,motogp,#FF4500
Mission Winnow Ducati,2019,motogp,#DC143C
Aprilia Racing Team,2019,motogp,#A41DA8
WithU Yamaha RNF MotoGP Team,2022,motogp,#0066CC
Prima Pramac Racing,2022,motogp,#F700FF
Repsol Honda Team,2022,motogp,#FF4500
Mooney VR46 Racing Team,2022,motogp,#95A003
Aprilia Racing,2022,motogp,#A41DA8
Monster Energy Yamaha MotoGP,2022,motogp,#0066CC
Gresini Racing MotoGP,2022,motogp,#4169E1
Tech3 KTM Factory Racing,2022,motogp,#B8500A
LCR Honda IDEMITSU,2022,motogp,#8B8684
Red Bull KTM Factory Racing,2022,motogp,#FF6600
Team SUZUKI ECSTAR,2022,motogp,#FF0000
Ducati Lenovo Team,2022,motogp,#DC143C
Aruba.it Racing,2022,motogp,#FF0000
LCR Honda CASTROL,2022,motogp,#8B8684
Pramac Racing,2022,motogp,#F700FF
Team HRC,2022,motogp,#FF0000
Pertamina Mandalika SAG Team,2022,motogp,#FF8C00
American Racing,2022,motogp,#B22222
MB Conveyors Speed Up,2022,motogp,#DC143C
RW Racing GP,2022,motogp,#4169E1
Flexbox HP40,2022,motogp,#FF0000
Gresini Racing Moto2,2022,motogp,#4169E1
Elf Marc VDS Racing Team,2022,motogp,#FFD700
Italtrans Racing Team,2022,motogp,#074907
Yamaha VR46 Master Camp Team,2022,motogp,#0066CC
Liqui Moly Intact GP,2022,motogp,#D1002D
MV Agusta Forward Racing MV,2022,motogp,#4169E1
IDEMITSU Honda Team Asia,2022,motogp,#FF4500
Red Bull KTM Ajo,2022,motogp,#FF6600
GASGAS Aspar Team,2022,motogp,#B8500A
Tech 3 KTM Factory Racing,2022,motogp,#B8500A
Aprilia Racing Test Team,2022,motogp,#A41DA8
Yamaha Factory,2022,motogp,#0066CC
Suzuki Test Team,2022,motogp,#0080FF
HRC Team,2022,motogp,#FF0000
Honda Test Team,2022,motogp,#FF4500
KTM Test Team,2022,motogp,#FF6600
Honda Racing Corporation,2022,motogp,#FF4500
VR46 Racing Team,2022,motogp,#95A003
Team Gresini Racing MotoGP,2022,motogp,#4169E1
Ducati Team,2015,motogp,#DC143C
Aprilia Racing Team Gresini,2015,motogp,#A41DA8
Avintia Racing,2015,motogp,#2F4F4F
Octo Pramac Racing,2015,motogp,#F700FF
E-Motion IodaRacing Team,2015,motogp,#9932CC
AB Motoracing,2015,motogp,#FF0000
Team SUZUKI ECSTAR,2015,motogp,#FF0000
Repsol Honda Team,2015,motogp,#FF4500
LCR Honda,2015,motogp,#8B8684
Monster Yamaha Tech 3,2015,motogp,#0066CC
"EG 0,0 Marc VDS",2015,motogp,#FFD700
Movistar Yamaha MotoGP,2015,motogp,#0066CC
Aspar MotoGP Team,2015,motogp,#DC143C
Forward Racing,2015,motogp,#4169E1
Athinà Forward Racing,2015,motogp,#4169E1
CWM LCR Honda,2015,motogp,#8B8684
Pramac Racing,2015,motogp,#F700FF
Octo IodaRacing Team,2015,motogp,#9932CC
Team SUZUKI ECSTAR Moto,2015,motogp,#FF0000
"Estrella Galicia 0,0 Marc VDS",2015,motogp,#FFD700
Yamaha Factory Racing Tea,2015,motogp,#0066CC
Team HRC with Nissin,2015,motogp,#FF0000
